severity,hour,accidents
1,0,2
1,4,2
1,5,4
1,6,5
1,7,10
1,8,16
1,9,24
1,10,12
1,11,11
1,12,17
1,13,16
1,14,9
1,15,10
1,16,11
1,17,12
1,18,17
1,19,14
1,20,13
1,21,7
1,22,5
1,23,3
2,0,1985
2,1,1440
2,2,1410
2,3,1527
2,4,2747
2,5,5330
2,6,10508
2,7,18224
2,8,21401
2,9,18541
2,10,16968
2,11,16969
2,12,15586
2,13,13407
2,14,15104
2,15,15152
2,16,17792
2,17,19228
2,18,16589
2,19,12693
2,20,10472
2,21,5391
2,22,4169
2,23,2225
3,0,1657
3,1,1534
3,2,1460
3,3,1324
3,4,1926
3,5,2898
3,6,4799
3,7,7052
3,8,8112
3,9,7554
3,10,7527
3,11,7366
3,12,6429
3,13,5534
3,14,6217
3,15,6682
3,16,7542
3,17,8287
3,18,7930
3,19,6706
3,20,6149
3,21,3862
3,22,3006
3,23,1536
4,0,595
4,1,435
4,2,392
4,3,516
4,4,503
4,5,600
4,6,663
4,7,660
4,8,644
4,9,624
4,10,572
4,11,581
4,12,623
4,13,628
4,14,660
4,15,697
4,16,713
4,17,673
4,18,665
4,19,544
4,20,515
4,21,336
4,22,457
4,23,570
