day_of_week,hour,accidents
Friday,0,717
Friday,1,535
Friday,2,462
Friday,3,522
Friday,4,896
Friday,5,1682
Friday,6,2741
Friday,7,4199
Friday,8,4749
Friday,9,4207
Friday,10,4189
Friday,11,4368
Friday,12,4064
Friday,13,3419
Friday,14,3859
Friday,15,4270
Friday,16,4873
Friday,17,5271
Friday,18,4665
Friday,19,3648
Friday,20,3178
Friday,21,1656
Friday,22,1471
Friday,23,672
Monday,0,464
Monday,1,537
Monday,2,472
Monday,3,502
Monday,4,957
Monday,5,1605
Monday,6,2963
Monday,7,4564
Monday,8,5379
Monday,9,4530
Monday,10,4343
Monday,11,4293
Monday,12,3758
Monday,13,2944
Monday,14,3430
Monday,15,3633
Monday,16,4365
Monday,17,4834
Monday,18,4225
Monday,19,3225
Monday,20,3004
Monday,21,1537
Monday,22,1129
Monday,23,666
Saturday,0,640
Saturday,1,398
Saturday,2,566
Saturday,3,441
Saturday,4,490
Saturday,5,490
Saturday,6,446
Saturday,7,703
Saturday,8,822
Saturday,9,1026
Saturday,10,1056
Saturday,11,1071
Saturday,12,1314
Saturday,13,1544
Saturday,14,1667
Saturday,15,1186
Saturday,16,1209
Saturday,17,931
Saturday,18,990
Saturday,19,930
Saturday,20,837
Saturday,21,728
Saturday,22,598
Saturday,23,423
Sunday,0,487
Sunday,1,599
Sunday,2,557
Sunday,3,541
Sunday,4,464
Sunday,5,540
Sunday,6,524
Sunday,7,832
Sunday,8,753
Sunday,9,845
Sunday,10,875
Sunday,11,989
Sunday,12,1136
Sunday,13,1235
Sunday,14,1480
Sunday,15,1084
Sunday,16,1143
Sunday,17,834
Sunday,18,777
Sunday,19,822
Sunday,20,642
Sunday,21,615
Sunday,22,509
Sunday,23,396
Thursday,0,622
Thursday,1,512
Thursday,2,432
Thursday,3,462
Thursday,4,894
Thursday,5,1453
Thursday,6,2967
Thursday,7,4844
Thursday,8,5595
Thursday,9,5087
Thursday,10,4687
Thursday,11,4570
Thursday,12,4149
Thursday,13,3550
Thursday,14,3876
Thursday,15,4067
Thursday,16,4968
Thursday,17,5540
Thursday,18,4981
Thursday,19,3907
Thursday,20,3180
Thursday,21,1751
Thursday,22,1375
Thursday,23,774
Tuesday,0,664
Tuesday,1,435
Tuesday,2,415
Tuesday,3,475
Tuesday,4,742
Tuesday,5,1525
Tuesday,6,3203
Tuesday,7,5450
Tuesday,8,6602
Tuesday,9,5610
Tuesday,10,4973
Tuesday,11,4807
Tuesday,12,4140
Tuesday,13,3319
Tuesday,14,3851
Tuesday,15,4107
Tuesday,16,4783
Tuesday,17,5543
Tuesday,18,4805
Tuesday,19,3753
Tuesday,20,3205
Tuesday,21,1699
Tuesday,22,1261
Tuesday,23,685
Wednesday,0,645
Wednesday,1,393
Wednesday,2,358
Wednesday,3,424
Wednesday,4,735
Wednesday,5,1537
Wednesday,6,3131
Wednesday,7,5354
Wednesday,8,6273
Wednesday,9,5438
Wednesday,10,4956
Wednesday,11,4829
Wednesday,12,4094
Wednesday,13,3574
Wednesday,14,3827
Wednesday,15,4194
Wednesday,16,4717
Wednesday,17,5247
Wednesday,18,4758
Wednesday,19,3672
Wednesday,20,3103
Wednesday,21,1610
Wednesday,22,1294
Wednesday,23,718
