day_of_week_number,day_of_week,hour,accidents
0,Monday,0,464
0,Monday,1,537
0,Monday,2,472
0,Monday,3,502
0,Monday,4,957
0,Monday,5,1605
0,Monday,6,2963
0,Monday,7,4564
0,Monday,8,5379
0,Monday,9,4530
0,Monday,10,4343
0,Monday,11,4293
0,Monday,12,3758
0,Monday,13,2944
0,Monday,14,3430
0,Monday,15,3633
0,Monday,16,4365
0,Monday,17,4834
0,Monday,18,4225
0,Monday,19,3225
0,Monday,20,3004
0,Monday,21,1537
0,Monday,22,1129
0,Monday,23,666
1,Tuesday,0,664
1,Tuesday,1,435
1,Tuesday,2,415
1,Tuesday,3,475
1,Tuesday,4,742
1,Tuesday,5,1525
1,Tuesday,6,3203
1,Tuesday,7,5450
1,Tuesday,8,6602
1,Tuesday,9,5610
1,Tuesday,10,4973
1,Tuesday,11,4807
1,Tuesday,12,4140
1,Tuesday,13,3319
1,Tuesday,14,3851
1,Tuesday,15,4107
1,Tuesday,16,4783
1,Tuesday,17,5543
1,Tuesday,18,4805
1,Tuesday,19,3753
1,Tuesday,20,3205
1,Tuesday,21,1699
1,Tuesday,22,1261
1,Tuesday,23,685
2,Wednesday,0,645
2,Wednesday,1,393
2,Wednesday,2,358
2,Wednesday,3,424
2,Wednesday,4,735
2,Wednesday,5,1537
2,Wednesday,6,3131
2,Wednesday,7,5354
2,Wednesday,8,6273
2,Wednesday,9,5438
2,Wednesday,10,4956
2,Wednesday,11,4829
2,Wednesday,12,4094
2,Wednesday,13,3574
2,Wednesday,14,3827
2,Wednesday,15,4194
2,Wednesday,16,4717
2,Wednesday,17,5247
2,Wednesday,18,4758
2,Wednesday,19,3672
2,Wednesday,20,3103
2,Wednesday,21,1610
2,Wednesday,22,1294
2,Wednesday,23,718
3,Thursday,0,622
3,Thursday,1,512
3,Thursday,2,432
3,Thursday,3,462
3,Thursday,4,894
3,Thursday,5,1453
3,Thursday,6,2967
3,Thursday,7,4844
3,Thursday,8,5595
3,Thursday,9,5087
3,Thursday,10,4687
3,Thursday,11,4570
3,Thursday,12,4149
3,Thursday,13,3550
3,Thursday,14,3876
3,Thursday,15,4067
3,Thursday,16,4968
3,Thursday,17,5540
3,Thursday,18,4981
3,Thursday,19,3907
3,Thursday,20,3180
3,Thursday,21,1751
3,Thursday,22,1375
3,Thursday,23,774
4,Friday,0,717
4,Friday,1,535
4,Friday,2,462
4,Friday,3,522
4,Friday,4,896
4,Friday,5,1682
4,Friday,6,2741
4,Friday,7,4199
4,Friday,8,4749
4,Friday,9,4207
4,Friday,10,4189
4,Friday,11,4368
4,Friday,12,4064
4,Friday,13,3419
4,Friday,14,3859
4,Friday,15,4270
4,Friday,16,4873
4,Friday,17,5271
4,Friday,18,4665
4,Friday,19,3648
4,Friday,20,3178
4,Friday,21,1656
4,Friday,22,1471
4,Friday,23,672
5,Saturday,0,640
5,Saturday,1,398
5,Saturday,2,566
5,Saturday,3,441
5,Saturday,4,490
5,Saturday,5,490
5,Saturday,6,446
5,Saturday,7,703
5,Saturday,8,822
5,Saturday,9,1026
5,Saturday,10,1056
5,Saturday,11,1071
5,Saturday,12,1314
5,Saturday,13,1544
5,Saturday,14,1667
5,Saturday,15,1186
5,Saturday,16,1209
5,Saturday,17,931
5,Saturday,18,990
5,Saturday,19,930
5,Saturday,20,837
5,Saturday,21,728
5,Saturday,22,598
5,Saturday,23,423
6,Sunday,0,487
6,Sunday,1,599
6,Sunday,2,557
6,Sunday,3,541
6,Sunday,4,464
6,Sunday,5,540
6,Sunday,6,524
6,Sunday,7,832
6,Sunday,8,753
6,Sunday,9,845
6,Sunday,10,875
6,Sunday,11,989
6,Sunday,12,1136
6,Sunday,13,1235
6,Sunday,14,1480
6,Sunday,15,1084
6,Sunday,16,1143
6,Sunday,17,834
6,Sunday,18,777
6,Sunday,19,822
6,Sunday,20,642
6,Sunday,21,615
6,Sunday,22,509
6,Sunday,23,396
